#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### TOOLTIPS ###
opinion_executed_kinsman;Executed my kinsman;;;;;;;;;;;;;x
opinion_scared_straight;Scared straight;;;;;;;;;;;;;x
opinion_beaten_submission;Beaten into submission;;;;;;;;;;;;;x
mta_vassal_tyranny_TT;This is viewed as tyrannical, and will lower your vassals' opinion of you by §R-10§!.;;;;;;;;;x
mta_executed_countrymen_TT;This will upset the lords of §Y[mta_executed.TopLiege.PrimaryTitle.GetFullName]§!, lowering their opinion of you by §R-10§!.;;;;;;;;;x
mta_executed_enemy_country_TT;Since §Y[From.GetTitledFirstName]§! is from an enemy country, no one will object.;;;;;;;;;x
mta_killed_close_kin_crime_TT;Any close family of §Y[From.GetTitledFirstName]§! will view this as a crime and be very upset.;;;;;;;;;x
mta_killed_close_kin_TT;Any close family of §Y[From.GetTitledFirstName]§! will be upset.;;;;;;;;;x
mta_execution_death_TT;§Y[mta_executed.GetBestName]§! dies!;;;;;;;;;x
mta_feed_to_beasts_TT;§Y[From.GetTitledFirstName]§!: §Y[From.GetBestName]§! will be killed by an animal of your choice.;;;;;;;;;x
mta_left_in_the_wilds_TT;§Y[mta_executed.GetBestName]§! dies!;;;;;;;;;x
#Option reason: Misc
mta_REASON_IN_AFRICA;This option is available because your capital county is in §YAfrica§!;;;;;;;;;x
mta_REASON_IN_AFRICA_GOVERNMENT;This option is available because your capital county is in §YAfrica§! and you are §Y[Root.Government.GetName]§!;;;;;;;;;x
mta_REASON_IN_INDIA;This option is available because your capital county is in §YIndia§!;;;;;;;;;x
mta_REASON_IN_EUROPE_NORTH;This option is available because your capital county is in §YNorthern Europe§!;;;;;;;;;x
mta_REASON_INDIA_TIER;This option is available because your capital county is in §YIndia§! and you are a §Y[Root.PrimaryTitle.GetRulerTitle]§!;;;;;;;;;x
mta_REASON_PERSIA_TIER;This option is available because your capital county is in §YPersia§! and you are a §Y[Root.PrimaryTitle.GetRulerTitle]§!;;;;;;;;;x
mta_REASON_ARABIA_TIER;This option is available because your capital county is in §YArabia§! and you are a §Y[Root.PrimaryTitle.GetRulerTitle]§!;;;;;;;;;x
mta_REASON_EAST_AFRICA_TIER;This option is available because your capital county is in §YEast Africa§! and you are a §Y[Root.PrimaryTitle.GetRulerTitle]§!;;;;;;;;;x
mta_REASON_FROM_IS_LOWBORN;This option is available because §Y[From.GetTitledFirstName]§! is §YLowborn§!;;;;;;;;;x
mta_REASON_CULTURE_FROM_IS_LOWBORN;This option is available because you are §Y[Root.Culture.GetName]§! and §Y[From.GetTitledFirstName]§! is §YLowborn§!;;;;;;;;;x
mta_REASON_GOVERNMENT_TYPE;This option is available because you are §Y[Root.Government.GetName]§!;;;;;;;;;x
mta_REASON_IS_NOMADIC;This option is available because you are §YNomadic§!;;;;;;;;;x
#Option reason: Traits
mta_REASON_CRUEL_HUNTER;This option is available because you have the §YCruel§! and §YHunter§! traits;;;;;;;;;x
mta_REASON_CRUEL_ARCHITECT;This option is available because you have the §YCruel§! and §YArchitect§! traits;;;;;;;;;x
mta_REASON_CRUEL_GARDENER;This option is available because you have the §YCruel§! and §YGardener§! traits;;;;;;;;;x
mta_REASON_CRUEL_CULTURE_GROUP;This option is available because you are §Y[Root.Culture.GetGroupName]§! and §YCruel§!;;;;;;;;;x
mta_REASON_CRUEL_CULTURE;This option is available because you are §Y[Root.Culture.GetName]§! and §YCruel§!;;;;;;;;;x
mta_REASON_CRUEL_RELIGION;This option is available because you are §Y[Root.Religion.GetName]§! and §YCruel§!;;;;;;;;;x
mta_REASON_CRUEL;This option is available because you have the §YCruel§! trait;;;;;;;;;x
mta_REASON_WROTH;This option is available because you have the §YWroth§! trait;;;;;;;;;x
#Option reason: Cultures
mta_REASON_CULTURE;This option is available because you are §Y[Root.Culture.GetName]§!;;;;;;;;;x
mta_REASON_IS_A_CAT;This option is available because you are a §Y[cat.GetName]§!;;;;;;;;;x
mta_REASON_IS_A_HORSE;This option is available because you are a §Y[horse.GetName]§!;;;;;;;;;x
mta_REASON_IS_PERSIAN;This option is available because you are §Y[persian.GetName]§!;;;;;;;;;x
#Option reason: Culture groups
mta_REASON_CULTURE_GROUP;This option is available because you are §Y[Root.Culture.GetGroupName]§!;;;;;;;;;x
mta_REASON_CULTURE_GROUP_GOVERNMENT;This option is available because you are §Y[Root.Culture.GetGroupName]§! and §Y[Root.Government.GetName]§!;;;;;;;;;x
mta_REASON_IS_CELTIC;This option is available because you are §Y[celtic.GetGroupName]§!;;;;;;;;;x
mta_REASON_IS_IBERIAN;This option is available because you are §Y[iberian.GetGroupName]§!;;;;;;;;;x
