emperor;Emperor;;;;;;;;;;;;;
emperor_adj;Emperor;;;;;;;;;;;;;
emperor_desc;Emperor;;;;;;;;;;;;;
king;King;;;;;;;;;;;;;
king_adj;King;;;;;;;;;;;;;
king_desc;King;;;;;;;;;;;;;
duke;Duke;;;;;;;;;;;;;
duke_adj;Duke;;;;;;;;;;;;;
duke_desc;Duke;;;;;;;;;;;;;
count;Count;;;;;;;;;;;;;
count_adj;Count;;;;;;;;;;;;;
count_desc;Count;;;;;;;;;;;;;
baron;Baron;;;;;;;;;;;;;
baron_adj;Baron;;;;;;;;;;;;;
baron_desc;Baron;;;;;;;;;;;;;
mayor;Mayor;;;;;;;;;;;;;
mayor_adj;Mayor;;;;;;;;;;;;;
mayor_desc;Mayor;;;;;;;;;;;;;
barbarian;Nireth;;;;;;;;;;;;;
barbarian_adj;Nireth;;;;;;;;;;;;;
barbarian_desc;Nireth;;;;;;;;;;;;;
norse;Cersros;;;;;;;;;;;;;
norse_adj;Cersros;;;;;;;;;;;;;
norse_desc;Cersros;;;;;;;;;;;;;
pagan;Peundran;;;;;;;;;;;;;
pagan_adj;Peundran;;;;;;;;;;;;;
pagan_desc;Peundran;;;;;;;;;;;;;
christian;Elobynnla;;;;;;;;;;;;;
christian_adj;Elobynnla;;;;;;;;;;;;;
christian_desc;Elobynnla;;;;;;;;;;;;;
pagan_DESC;All praise the almighty Lar!;;;;;;;;;;;;;
pagan_DESC_adj;All praise the almighty Lar!;;;;;;;;;;;;;
pagan_DESC_desc;All praise the almighty Lar!;;;;;;;;;;;;;
k;Pistrislon;;;;;;;;;;;;;
k_adj;Pistrislon;;;;;;;;;;;;;
k_desc;Pistrislon;;;;;;;;;;;;;
domyuns;Domyuns;;;;;;;;;;;;;
domyuns_adj;Domyuns;;;;;;;;;;;;;
domyuns_desc;Domyuns;;;;;;;;;;;;;
karasus;Karasus;;;;;;;;;;;;;
karasus_adj;Karasus;;;;;;;;;;;;;
karasus_desc;Karasus;;;;;;;;;;;;;
bonas;Bonas;;;;;;;;;;;;;
bonas_adj;Bonas;;;;;;;;;;;;;
bonas_desc;Bonas;;;;;;;;;;;;;
egaloras;Egaloras;;;;;;;;;;;;;
egaloras_adj;Egaloras;;;;;;;;;;;;;
egaloras_desc;Egaloras;;;;;;;;;;;;;
w;Estae;;;;;;;;;;;;;
w_adj;Estae;;;;;;;;;;;;;
w_desc;Estae;;;;;;;;;;;;;
r;Punsipuon;;;;;;;;;;;;;
r_adj;Punsipuon;;;;;;;;;;;;;
r_desc;Punsipuon;;;;;;;;;;;;;
s;Pumpokat;;;;;;;;;;;;;
s_adj;Pumpokat;;;;;;;;;;;;;
s_desc;Pumpokat;;;;;;;;;;;;;
n;Rospymi;;;;;;;;;;;;;
n_adj;Rospymi;;;;;;;;;;;;;
n_desc;Rospymi;;;;;;;;;;;;;
nar;Nar;;;;;;;;;;;;;
nar_adj;Nar;;;;;;;;;;;;;
nar_desc;Nar;;;;;;;;;;;;;
tarn;Tarn;;;;;;;;;;;;;
tarn_adj;Tarn;;;;;;;;;;;;;
tarn_desc;Tarn;;;;;;;;;;;;;
sarn;Sarn;;;;;;;;;;;;;
sarn_adj;Sarn;;;;;;;;;;;;;
sarn_desc;Sarn;;;;;;;;;;;;;
qarn;Qarn;;;;;;;;;;;;;
qarn_adj;Qarn;;;;;;;;;;;;;
qarn_desc;Qarn;;;;;;;;;;;;;
karn;Karn;;;;;;;;;;;;;
karn_adj;Karn;;;;;;;;;;;;;
karn_desc;Karn;;;;;;;;;;;;;
